"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping."
"%1$s has been updated in your wishlist.","%1$s has been updated in your wish list."
"%d product(s) have been added to shopping cart: %s.","%d product(s) have been added to shopping cart: %s."
"%s has been moved to wishlist %s","%s has been moved to wishlist %s."
"%s tag(s) have been accepted for moderation.","%s tag(s) have been accepted for moderation."
"%s was added to your shopping cart.","%s was added to your tote. Please check that all items are correct before proceeding to checkout."
"%s was removed from your wishlist.","%s was removed from your wishlist."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please check your confirmation e-mail to complete your registration. To re-send confirmation email, please <a href=""%s"">click here</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please check your confirmation e-mail to complete your registration. To re-send the confirmation email please <a href=""%s"">click here</a>."
"An error occurred while adding item to wishlist: %s","An error occurred while adding item to wish list: %s."
"An error occurred while deleting the address.","An error occurred while deleting an address."
"An error occurred while deleting the item from wishlist.","An error occurred while deleting an item from wish list."
"An error occurred while deleting the item from wishlist: %s","An error occurred while deleting an item from wish list: %s."
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"An error occurred while updating wishlist.","An error occurred while updating your wish list."
"Are you sure that you want to remove this item?","Are you sure you want to remove this item?"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding this address?"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Are you sure you would like to cancel this RMA?","Are you sure you want to cancel this RMA?"
"Are you sure?","Are you sure?"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you want to remove this item from shopping cart?"
"Are you sure to redeem this gift with %s points?","Are you sure to redeem this gift with %s points?"
"Can't load RMA request","Unable to load RMA request."
"Cannot add item to shopping cart","Unable to add item to shopping cart."
"Cannot add item to shopping cart","Unable to add item to shopping cart."
"Cannot add the item to shopping cart.","Unable to add this item to shopping cart."
"Cannot add the item to shopping cart.","Unable to add this item to shopping cart."
"Cannot add the item to shopping cart.","Unable to add this item to shopping cart."
"Cannot apply gift card.","Unable to apply your gift card."
"Cannot apply the coupon code.","Unable to apply the coupon code."
"Cannot Convert reward Points.","Unable to redeem reward points."
"Cannot Convert reward Points.","Unable to redeem reward points."
"Cannot load wishlist item","Unable to load wish list items."
"Cannot move item to wishlist","Unable to move item to wish list."
"Cannot move item to wishlist","Unable to move item to wish list."
"Cannot Rebind the Weibo Acccount.","Unable to connect with your Facebook account."
"Cannot redeem Gift Card.","Unable to redeem Gift Card."
"Cannot remove gift card.","Unable to remove gift card."
"Cannot remove the item.","Unable to remove the item."
"Cannot save a new password.","Unable to save the new password."
"Cannot save address.","Unable to save address."
"Cannot specify product.","Unable to specify product."
"Cannot update shopping cart.","Unable to update shopping cart."
"Cannot update wishlist","Unable to update your wish list."
"Can't update wishlist","Unable to update your wish list."
"Can't be empty","This field cannot be empty."
"Couldn't load order by given order ID","Couldn't load order by given order ID."
"Comment successfully added","Your comment has been successfully added."
"Comment text can't be empty","Comment text cannot be empty."
"Confirmation request has been sent.","Confirmation request has been sent."
"Coupon code ""%s"" was applied.","Coupon code ""%s"" has been applied."
"Coupon code was canceled.","Coupon code has been canceled."
"Customer email is required","Please enter your email."
"Email address is required.","Please enter your email."
"Entered data is incorrect. Please try again.","Inserted information is incorrect. Please try again."
"Express Checkout and Order have been canceled.","Express Checkout and your order have been canceled."
"Express Checkout has been canceled.","Express Checkout has been canceled."
"Facebook connection failed.","Failed to connect with your Facebook account."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Your Facebook profile cannot provide all required information. Please register and connect your account with Facebook for fast login."
"Failed to unsubscribe.","Failed to unsubscribe."
"Gift Card ""%s"" was added.","Gift Card ""%s"" has been added."
"Gift Card ""%s"" was redeemed.","Gift Card ""%s"" has been redeemed."
"Gift Card ""%s"" was removed.","Gift Card ""%s"" has been removed."
"If there is an account associated with %s you will receive an email with a link to reset your password.","If there is an account associated with %s, you will receive an email with a link to reset your password."
"Insufficient reward points.","Insufficient reward points."
"Invalid ""State/Province"" type.","Invalid ""State/Province"" type."
"Invalid current password","Invalid current password."
"Invalid email address.","Invalid email address."
"Invalid gift card product.","Invalid gift card product."
"Invalid login or password.","Invalid login or password."
"Invalid password reset token.","Invalid password reset token."
"Invalid subscription confirmation code.","Invalid subscription confirmation code."
"Invalid subscription ID.","Invalid subscription ID."
"Login and password are required.","Your email and password are required."
"New password field cannot be empty.","Please enter a new password."
"New RMA request has been successfully added","A new return request has been successfully added."
"Not Sufficient Reward Points for Gift Card !","Insufficient reward points to redeem Gift Card."
"Not Sufficient Reward Points for Gift Product !","Insufficient reward points to redeem gifts."
"Order place error.","Invalid shipping address."
"Order ID and customer email didn't match each other","Order ID and customer email didn't match each other."
"Please agree to all Terms and Conditions before placing the order.","Please read and agree to all terms and conditions."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Your password must contain at least 6 characters. No character other than letters and numbers can be used."
"Please enter your email.","Please enter your email."
"Please, check your email for confirmation key.","Please check your email for confirmation code."
"Please login first.","Please login first."
"Please make sure your passwords match.","Please make sure your new password is correct and try again."
"Please specify the product's option(s).","Please select color and size."
"Please specify payment method.","Please select payment method."
"Please specify shipping method.","Please select shipping method."
"Processing...","Processing..."
"Redeem success! Your gift card code is %s and has been sent to your email","Redeem success! Your gift card code is %s and has been sent to your email."
"Requested link does not exist.","Requested link does not exist."
"Reward Points ""%s"" were converted to ""%s"" in gift card","Reward Points ""%s"" have been converted to ""%s"" gift card."
"reward points more than num in your account","Insufficient reward points in your account."
"Reward points will not be used in this order.","Reward points cannot be used in this order."
"Service temporarily unavailable.","Service temporarily unavailable."
"Shopping cart has been updated with appropriate prices","Your shopping cart has been updated."
"Signing in...","Signing in..."
"Some emails were not sent.","Some of the emails were not sent."
"Some of the requested products are not available in the desired quantity.","Some of the requested products are out of stock."
"Some of the requested products are unavailable.","Some of the requested products are unavailable."
"Sorry, there was an error getting requested content. Please contact the store owner.","There is an error while loading requested content. Please contact our customer service for assistance."
"State/Province does not exist.","Invalid State/Province."
"State/Province is required.","Please enter State/Province."
"Subtotal must exceed minimum order amount","Your order has to meet minimum order amount."
"Success : Cancel Weibo Binding","Success : Cancel Weibo Binding."
"Tag ""%s"" has already been added to the product.","Tag ""%s"" has already been added to the product."
"Tag ""%s"" has been added to the product.","Tag ""%s"" has been added to the product."
"Tag ""%s"" has been rejected by administrator.","Failed to add Tag ""%s""."
"Thank you for registering with %s","Thank you for your registration."
"Thank you for registering with %s.","Thank you for your registration with %s."
"Thank you for your subscription.","Thank you for your subscription."
"The account information has been saved.","The account information has been saved."
"The address has been deleted.","The address has been deleted."
"The address has been saved.","The address has been saved."
"The billing agreement ""%s"" has been canceled.","The billing agreement ""%s"" has been canceled."
"The link has expired.","The link has expired."
"The link is not available.","The link is not available."
"The link to a friend was sent.","The link has been sent to your friend."
"The messages cannot be sent more than %d times in an hour","The messages cannot be sent more than %d times in an hour."
"The onepage checkout is disabled.","Onepage checkout is disabled."
"The product was not found.","The product was not found."
"The reward points have been removed from the order.","Reward points have been canceled in the order."
"The subscription has been removed.","The subscription has been removed."
"The subscription has been saved.","The subscription has been saved."
"The tag has been deleted.","The tag has been deleted."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","There is already an account associated with this email address. If you are sure that this is your email address, <a href=""%s"">click here</a> to reset your password."
"There was a problem with the subscription.","There was a problem with the subscription."
"There was a problem with the subscription: %s","There was a problem with the subscription: %s."
"There was a problem with the un-subscription.","There was a problem with the unsubscription."
"This account is not confirmed.","This account is not confirmed."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email."
"This is a required field.","This is a required field."
"Mobilephone Not Match Rule.","Mobilephone Not Match Rule."
"This customer email already exists","This customer email already exists."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"This email address has been subscribed.","This email address has been subscribed."
"This email does not require confirmation.","This email does not require confirmation."
"This order has been placed by registered customer. Please, authorize and request RMA via customer account.","This order has been placed by registered customer. Please, authorize and request RMA via customer account."
"This product(s) is currently out of stock","This product(s) is currently out of stock."
"This product(s) is currently out of stock","This product(s) is currently out of stock."
"To proceed to Checkout, please log in using your email address.","To proceed Checkout, please log in with your email address."
"Unable to cancel Express Checkout.","Unable to cancel Express Checkout."
"Unable to initialize Express Checkout review.","Unable to initialize Express Checkout review."
"Unable to place the order.","Unable to place the order."
"Unable to process Express Checkout approval.","Unable to process Express Checkout."
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please try again later."
"Unable to save tag(s).","Unable to save tag(s)."
"Unable to start Express Checkout.","Unable to start Express Checkout."
"Unable to submit your request. Please, try again later","Unable to submit your request. Please try again later."
"Unable to update Order data.","Unable to update order data."
"Unable to update shipping method.","Unable to update shipping method."
"Wishlist could not be created.","Wish list cannot be created."
"Wishlist could not be created.","Wish list cannot be created."
"Wrong customer account specified.","Incorrect customer account specified."
"Wrong email.","Incorrect email."
"Wrong gift card code.","Incorrect gift card code."
"Wrong form data","Incorrect data type."
"You can't comment resolved RMA","You cannot submit comment to resolved refund request."
"You have been unsubscribed.","Unsubscription completed."
"You have been unsubscribed.","Unsubscription completed."
"You have no completed orders to request RMA or your orders were placed more than 30 days ago","You have no completed orders to request RMA or your orders were placed more than 30 days ago."
"You will receive welcome email with registration info in a moment.","You will receive confirmation email in a moment."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Your Facebook account has been successfully connected. Now you can fast log into your account using Facebook Connect at any time."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your enquiry has been submitted and our customer service will reply you shortly. Thank you for contacting us."
"Your password has been updated.","Your password has been updated."
"Your password reset link has expired.","Your password reset link has expired."
"Your RMA is currently waiting for approval","Your refund request is currently waiting for approval."
"Your RMA successfully canceled","Your refund request  has been successfully canceled."
"Your subscription has been confirmed.","Your subscription has been confirmed."
"Your review has been accepted for moderation.","Your review has been accepted for moderation."
