"Cancel","取消"
"Your RMA has been placed and waiting for approval.","您的申请已经递交，请耐心等候确认。"
"You have no completed orders to request RMA or your orders were placed more than 30 days ago","您没有申请过退换货或您的订单是在30天之前下的。"
"Request RMA","退换货申请"
"Confirm Shipping","确认发货"
"Request Information","申请信息"
"Request Date:","申请日期："
"REQUESTED ITEMS","已经申请的商品"
"Leave Comment","写下备注"
"Comment","备注"
"Messages History","信息历史"
"Order No:","订单号:"
"Request Type:","申请类型:"
"Package Opened:","包裹是否打开:"
"Status:","状态:"
"Yes","是"
"No","否"
"Back","返回"
"Items Ordered","订购的商品"
"Contact Information","联系人信息"
"First Name","名字"
"Last Name","姓氏"
"Company","公司"
"Telephone","电话"
"Fax","传真号"
"Return Address","返货地址"
"Street Address","街道地址"
"City","城市"
"State/Province","省份"
"Zip/Postal Code","邮编"
"Country","国家"
"Please select region, state or province","请选择地区、省份"
"* Required Fields","* 必填项"
"Print Label","打印"
"RMA Reason","退货/换货原因"
"System","系统信息"
"Customer","顾客信息"
"Order Id","订单号"
"E-mail","电邮地址"
"Your exchange request has been approved. We are processing the delivery of your products. Please wait.","您的换货申请已通过审核。我们正在为您安排重新发货，请耐心等待。"