"%s Member","%s會員"
"SHOP NOW","立即購物賺取積分!"
"General","普通"
"Gold","金卡"
"How to be a VIP?","怎樣成為 VIP?"
"Offline VIP","線下VIP"
"Point","分"
"Points","分"
"Points to upgrade to %s","升級到%s所需的積分"
"You are already %s Member!","您已是%s會員!"
"With every dollar you spend at Central/Central, one bonus point is added to your account.","您在熙熙網消費的每一元都會轉換成積分添加到您的賬戶中。"
"Redeem your points from a range of exciting perfect gifts now - only for our members.","現在就去用您的積分兌換心動禮物吧，只有是我們的會員才可以哦"
"Please <a class=""uline"" href=""%s""><strong>login</strong></a> to check your bonus points.","請 <a class=""uline"" href=""%s""><strong>登入</strong></a> 檢查你的積分餘額"
"Not a member yet? Please <a class=""uline"" href=""%s""><strong>sign up</strong></a> now.","還不是會員嗎? 請 <a class=""uline"" href=""%s""><strong>先註冊下吧</strong></a>"
"Sign in as VIP","VIP登入"
"You can redeem your points for these rewards:","您可以用積分兌換這些禮物："
"Nil","無積分"
"Member Class","會員等級"
"Discounts","購物折扣"
"Redeemable Points","可兌換積分"
"Expiry Date","有效期"
"Bonus Points","積分"
"General","普通"
"Silver","銀卡"
"Gold","金卡"
"Redeem Gifts Now","馬上兌換禮品"
"Member Tier","會員級別"
"Earned Points","已賺積分"
"Redeemed Points","已換領積分"
"Current Point Balance","現有積分"
"Membership Expiry Date","會籍有效期"
"MY BENEFITS","我的優惠"
"HOW TO EARN POINTS","如何賺取積分"
"From September 1, 2014","2014年9月1日起至現在"
"Platinum","白金級"
"Grey","普通"
"%1$s points to upgrade to %2$s","升級到%2$s的所需積分: %1$s"