"* Required Fields","* 必填項"
"Comment","內容"
"Contact Form","聯繫表單
Contact Information"""
"Contact Information","聯繫信息"
"Contact Us","聯繫我們"
"Contacts","聯繫"
"Contacts Section","聯繫單元"
"Email","電郵"
"Email Options","電郵選項"
"Email Sender","發件人"
"Email Template","電郵模版"
"Enable Contact Us","啟用聯繫我們"
"Name","姓名"
"Send Emails To","發送郵件給"
"Submit","提交"
"Telephone","電話"
"What can we help you with?","您想查詢的服務？"
"Leave Us A Message","聯繫我們"
"Feel free to leave us a message and we'll get back to you as soon as we can.","請留言給我們，我們將會盡快處理您的信息"