"(Make sure you keep it in a safe place.)","(請保存在安全的地方。)"
"(Optional. Leave blank for no prefix)","(任選值，留空為不要前綴)"
"(ver. %s)","(版本. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","添加於基準URL之後的路徑，用於訪問您的管理面板（例如, admin, backend, control 等）。"
"Admin Path","管理路徑"
"After successfull installation please click the button below.","安裝成功後請點擊下面的按鈕。"
"All packages were installed successfully, click 'Ok' to continue with installation","所有安裝包已成功安裝，點擊'Ok'繼續安裝"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","您也可以試試「手工下載和升級」。"
"Base URL","基準URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","在轉到您的商店前，請記下您的密鑰(Magento用於加密密碼、信用卡號等)。"
"Check out our","看看"
"Check this box only if it is not possible to automatically validate Base URL.","僅在無法自動檢驗基準 URL 時選擇此項。"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","當無法自動校驗安全網址時，才選擇此方框。例如，如果需要HTTP認證。"
"Choose this if you would like to test frontend and backend functionality.","如果您想測試前台和後台功能，選擇此項。"
"Configuration","設置"
"Confirm Password","確認密碼"
"Connection","連接"
"Continue","繼續"
"Continue After Manual Download","手工下載後繼續"
"Continue Full Download / SVN Installation","繼續完整下載/ SVN 安裝"
"Create Admin Account","創建管理員帳號"
"Currently this is the most stable state available for Magento packages.","這是目前最穩定的Magento安裝包。"
"Database","數據"
"Database Connection","數據連接"
"Database Name","數據名"
"Database connection error","數據庫連接錯誤"
"Database host","數據庫主機"
"Database server does not support InnoDB storage engine","數據庫服務器不支持InnoDB存儲引擎"
"Database server version does not match system requirements (required: %s, actual: %s)","數據庫服務器版本不符合系統需求（要求版本：%s,當前版本：%s）"
"Database user name","數據用戶名"
"Database user password","數據用戶密碼"
"Default Currency","默認貨幣"
"Download","下載"
"Download Magento Core Modules and Updates","下載Magento核心模塊並更新"
"Downloading and installing Magento, please wait...","正在下載和安裝Magento，請稍候..."
"Email","電郵"
"Email Address","電郵地址"
"Enable this option only if you have SSL available.","如您有SSL，啟動此選項。"
"Encryption Key","密鑰"
"File system","文件系統"
"First Name","姓名"
"Full Download / SVN Installation","完整下載/ SVN 安裝"
"Get ready to experience Open-Source eCommerce Evolved.","準備好體驗開源電子商務。"
"Go to Backend","去後台管理"
"Go to Frontend","去前台"
"Having trouble installing Magento?","安裝Magento有問題?"
"Help Us to Keep Magento Healthy","幫助我們改善Magento"
"Host","主機"
"I agree to the above terms and conditions","我同意以上條款"
"If you are a developer and would like to have the latest public updates, choose this option.","如您是開發人員並想獲取最新升級版，選擇此項。
If you are running PHP as CGI"
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","如果以CGI方式運行PHP，您的PHP進程用戶可能於您上傳Magento文件的用戶名一樣。"
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","如果您是在之前安裝的Magento基礎上運行安裝嚮導，請選擇本方式。"
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","如您不希望或無法給Magento文件夾可寫權限，您可使用位於Magnento主文件目錄裡的PEAR executable來安裝。"
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","如您是通過SVN下載或安裝Magento完整包，您須要跳過安裝包和驗證。點擊下面的按鈕。"
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","如您想通過網站後台管理界面來管理Magento, 您需要把所有Magento的文件和文件夾設置為可寫權限。"
"If your server is running on MS Windows, most probably you will not need to change anything.","若您的服務器使用MS視窗，很有可能您不需更改任何設置。"
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","一些狀況下您需要讓web server用戶使用Magento文件可寫權限設置"
"Installation","安裝"
"Installation Guide","安裝手冊"
"Last Name","姓氏"
"Locale","語言"
"Locale settings","語言設置"
"Localization","本地化"
"Login Information","登錄信息"
"Magento","Magento"
"Magento Installation Wizard","Magento安裝嚮導"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento 是 Irubin Consulting Inc. DBA Varien 的註冊商標。版權所有 &copy; %s Irubin Consulting Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento 使用該密鑰加密密碼、信用卡及其它信息。如果該欄目留空，系統將自動生成密鑰，並在下個頁面顯示。"
"Manual Downloads and Upgrades","手動下載和升級"
"One from PHP Extensions ""%s"" must be loaded","PHP的擴展""%s""沒有加載"
"PHP Extension ""%s"" must be loaded","PHP的擴展""%s""沒有加載"
"PHP Extension '%s' loaded","PHP擴展'%s'已加載"
"Package Management through the Web","通過網頁管理安裝包"
"Password","密碼"
"Password Confirmation","密碼確認"
"Path ""%s"" must be writable","路徑""%s""必須可寫"
"Personal Information","個人信息"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","請確定<code>mod_rewrite</code> 已在Apache設置裡啟動。"
"Please note that it is much less stable than beta.","請注意這比Beta版本更不穩定。"
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","請注意目前僅支持UNIX、Linux和Mac OSX 命令行，Windows 請用'%s'選項。"
"Please set all required settings before clicking Continue","點擊繼續（Continue）前請設置所有所需的設置。"
"Preferred stability: %s","屬意的穩定性：%s"
"Proceed With Automatic Download (%s)","進行自動下載（%s）"
"Provide a complete base URL for SSL connection. For example: %s","給SSL連線提供一個完整的基準URL，例如： %s"
"Report All Bugs","報告所有錯誤"
"Required Fields","必選項"
"Run admin interface with SSL","使用SSL於後台模版界面"
"Run this in your shell from Magento root folder:","在shell裡的Magento主文件夾裡安裝。"
"Save session data in","將會話數據保存在"
"Save session files in","將會話文件保存在"
"Secure Base URL","安全基準URL"
"Session storage options","會話存儲選項"
"Setting preferred state to: %s","屬意的設置狀態為: %s"
"Skip Base URL validation before next step","進行下一步前，忽略基準網址校驗"
"Skip Secure URL validation before next step","進行下一步前跳過安全URL檢驗。"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","表前綴只能含字母(a-z)、數字(0-9)或下劃線(_)，首字符必須是字母"
"Tables Prefix","Tables前綴"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","安裝Magento時出錯，請查看日誌文件，修正錯誤後重試。"
"This Url is invalid","網址不正確"
"Time Zone","時區"
"Url ""%s"" is invalid","網址""%s""不正確"
"Url ""%s"" is not accessible","網址""%s""不正確"
"Use Secure URLs (SSL)","使用安全URLs（SSL）"
"Use Web Server (Apache) Rewrites","使用Web Server (Apache) Rewrites"
"User Name","用戶名"
"User Password","用戶密碼"
"Username","用戶名"
"Web access options","網站通行選項"
"Welcome to Magento's Installation Wizard","歡迎使用Magento安裝嚮導"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","您可指定主機port, 例如: localhost:3307<br />如果您沒有使用默認的 UNIX socket，您可在這裡指定，例如： /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","您可啟動此選項以使用網站服務重寫（web server rewrites）功能來加以優化SEO."
"You're All Set","您已準備好了!"
