"Add Recipient","添加收件人"
"Allow for Guests","允許訪客"
"Email Address","電郵"
"Email Address:","電郵"
"Email templates","電子郵件模板"
"Email to a Friend","分享此商品給您的朋友"
"Email:","電郵"
"Enabled","啟用"
"Limit Sending By","設寄送方式限制為"
"Link to a friend was sent.","給朋友的鏈接已發送。"
"Max Products Sent in 1 Hour","一小時最多可寄送的商品次數"
"Max Recipients","一次發送最多收件人"
"Maximum %d email addresses allowed.","可允許%d郵件地址。"
"Message:","內容"
"Name","姓名"
"Name:","姓名"
"Recipient:","收件人"
"Remove Email","刪除"
"Select email template","選擇郵件模板"
"Send email","發送郵件"
"Send product to a friend","分享此商品給朋友"
"Sender:","發件人"
"Send Email","發送郵件"
"Back","返回"